токены,POS-теги
мне,PRON
нравится,VERB
смотреть,VERB
как,CONJ
у,PREP
нас,PRON
у,PREP
всех,PRON
осенью,NOUN
подтекает,VERB
крышак,NOUN
знаете,VERB
такое,PRON
единение,NOUN
ощущение,NOUN
что,CONJ
ты,PRON
не,PART
один,NUM
в,PREP
этой,PRON
ловушке,NOUN
а,CONJ
когда,CONJ
у,PREP
тебя,PRON
и,CONJ
так,CONJ
депрессия,NOUN
еще,ADV
осенняя,ADJ
хандра,NOUN
так,CONJ
это,PRON
вообще,ADV
комбо,NOUN
быть,VERB
околотворческим,ADJ
человеком,NOUN
это,PRON
каждый,PRON
раз,NOUN
когда,CONJ
переживаешь,VERB
сильную,ADJ
негативную,ADJ
эмоцию,NOUN
тыкать,VERB
в,PREP
мозг,NOUN
палкой,NOUN
со,PREP
словами,NOUN
ну,PART
давай,VERB
сделай,VERB
что-нибудь,PRON
прикольное,ADJ
из,PREP
этого,PRON
девяносто,NUM
процентов,NOUN
тусовок,NOUN
в,PREP
последнее,ADJ
время,NOUN
би,VERB
лайк,CONJ
куда,ADV
ни,PART
глянь,VERB
все,PRON
на,PREP
фрилансе,NOUN
и,CONJ
рубят,VERB
бабки,NOUN
а,CONJ
я,PRON
будто,CONJ
единственная,ADJ
тупая,ADJ
картошина,NOUN
давайте,VERB
признаем,VERB
что,CONJ
нет,X
ничего,PRON
сексуальнее,ADJ
чем,CONJ
когда,CONJ
человек,NOUN
весь,PRON
такой,PRON
тотал,ADV
блэк,ADJ
черная,ADJ
футболка,NOUN
черная,ADJ
кожанка,NOUN
черные,ADJ
джинсы,NOUN
черная,ADJ
обувь,NOUN
а,CONJ
под,PREP
этой,PRON
обувью,NOUN
самые,PRON
дурацкие,ADJ
в,PREP
мире,NOUN
носки,NOUN
они,PRON
показывают,VERB
что,CONJ
это,PRON
ок,X
носить,VERB
одну,NUM
куртку,NOUN
три,NUM
года,NOUN
умные,ADJ
наушники,NOUN
с,PREP
шумоподавлением,NOUN
а,CONJ
может,VERB
лучше,ADJ
шумные,ADJ
наушники,NOUN
с,PREP
умоподавлением,NOUN
у,PREP
студентов,NOUN
и,CONJ
учеников,NOUN
снг,NOUN
три,NUM
пути,NOUN
синдром,NOUN
отличника,NOUN
сдвг,NOUN
и,CONJ
апатия,NOUN
с,PREP
выгоранием,NOUN
слизеринцы,NOUN
би,VERB
лайк,CONJ
слизеринцы,NOUN
на,PREP
первом,NUM
месте,NOUN
в,PREP
соревновании,NOUN
за,PREP
кубок,NOUN
школы,NOUN
но,CONJ
учитывая,VERB
последние,ADJ
события,NOUN
давайте,VERB
честно,ADV
несмотря,PREP
на,PREP
то,PRON
что,CONJ
фуфелшмерц,NOUN
травмированный,ADJ
злодей,NOUN
он,PRON
тот,PRON
отец,NOUN
о,PREP
котором,CONJ
мечтает,VERB
большая,ADJ
часть,NOUN
страны,NOUN
приказываю,VERB
всем,PRON
любить,VERB
фуфелшмерца,NOUN
это,PRON
я,PRON
выспанный,VERB
настраиваюсь,VERB
на,PREP
продуктивную,ADJ
рабочую,ADJ
неделю,NOUN
ты,PRON
в,PREP
шестнадцать,NUM
лет,NOUN
йоууу,INTJ
тусим,VERB
до,PREP
утра,NOUN
потом,ADV
поспим,VERB
два,NUM
часа,NOUN
и,CONJ
продолжим,VERB
ты,PRON
сейчас,ADV
часок,NOUN
посидели,VERB
и,CONJ
хватит,VERB
дома,NOUN
столько,ADV
всего,PRON
прикольного,ADJ
не,PART
посмотрено,VERB
и,CONJ
не,PART
съедено,VERB
да,CONJ
и,CONJ
вообще,ADV
как-то,ADV
спатеньки,VERB
уже,ADV
хочется,VERB